Wavelength[nm],T% at AOI 0 deg
1100,0.016953787
1099.5,0.017379971
1099,0.017336959
1098.5,0.016873667
1098,0.016681992
1097.5,0.017415348
1097,0.016332541
1096.5,0.017139388
1096,0.015849706
1095.5,0.016055327
1095,0.015620618
1094.5,0.015338541
1094,0.014255604
1093.5,0.014103766
1093,0.013285394
1092.5,0.012554516
1092,0.011988012
1091.5,0.01191926
1091,0.01074934
1090.5,0.011023468
1090,0.009116016
1089.5,0.008461493
1089,0.008072316
1088.5,0.008099481
1088,0.006790277
1087.5,0.006503604
1087,0.006541687
1086.5,0.006460532
1086,0.004874362
1085.5,0.004758856
1085,0.00500782
1084.5,0.005202919
1084,0.004373214
1083.5,0.004024761
1083,0.004579397
1082.5,0.003284877
1082,0.003246438
1081.5,0.002408567
1081,0.002383407
1080.5,0.003537864
1080,0.002435593
1079.5,0.002844572
1079,0.001975993
1078.5,0.002092914
1078,0.002424391
1077.5,0.000860546
1077,0.000507852
1076.5,0.000834605
1076,0.001817402
1075.5,0.000813936
1075,-0.000254906
1074.5,0.001122813
1074,0.001261228
1073.5,0.001158467
1073,0.001340084
1072.5,0.000612034
1072,0.001655955
1071.5,0.001967661
1071,0.001641531
1070.5,0.001182523
1070,0.001349241
1069.5,0.000643412
1069,0.001434784
1068.5,0.000369786
1068,0.000406965
1067.5,0.00052495
1067,0.000340125
1066.5,0.000553252
1066,-0.000405615
1065.5,-0.000402571
1065,0.000582535
1064.5,0.000853873
1064,0.001569939
1063.5,0.001059585
1063,0.001094987
1062.5,0.000771364
1062,0.000123577
1061.5,0.000111053
1061,0.001429114
1060.5,0.000176626
1060,0.000128946
1059.5,-0.000189757
1059,-0.000647456
1058.5,0.000171056
1058,0.000617158
1057.5,0.000141555
1057,8.34E-05
1056.5,0.000711851
1056,-0.000134014
1055.5,0.000831536
1055,0.000128037
1054.5,0.000273272
1054,9.29E-05
1053.5,0.000515261
1053,0.001429403
1052.5,0.000292369
1052,0.001176329
1051.5,2.63E-05
1051,0.000271786
1050.5,0.001300189
1050,-0.000104442
1049.5,0.000430207
1049,0.000528356
1048.5,0.000842684
1048,0.000356284
1047.5,4.06E-05
1047,0.000187986
1046.5,0.000340478
1046,-0.00106374
1045.5,0.001391238
1045,-0.00104235
1044.5,0.000491228
1044,-0.000146598
1043.5,-0.000253895
1043,7.52E-05
1042.5,0.000938488
1042,0.000645657
1041.5,0.000123049
1041,-0.001082694
1040.5,6.64E-05
1040,-0.000569608
1039.5,0.000156691
1039,0.000258561
1038.5,0.00035204
1038,2.49E-05
1037.5,0.00050882
1037,0.000141356
1036.5,0.000204077
1036,-0.000193302
1035.5,0.001109892
1035,0.000357604
1034.5,0.001109832
1034,0.000638867
1033.5,0.000740963
1033,0.001540316
1032.5,0.000674997
1032,0.000419506
1031.5,-0.000976321
1031,0.001525206
1030.5,0.000790571
1030,0.000528913
1029.5,0.000485092
1029,0.001072141
1028.5,0.001050367
1028,-0.000440447
1027.5,0.000282385
1027,0.000237539
1026.5,0.00052432
1026,0.001036243
1025.5,0.00059325
1025,-0.000474533
1024.5,-0.000265485
1024,0.000279705
1023.5,0.00040196
1023,0.000779213
1022.5,0.000947351
1022,1.79E-05
1021.5,0.001303505
1021,0.000311618
1020.5,0.001961065
1020,0.000247549
1019.5,0.001796343
1019,0.000403824
1018.5,0.000562164
1018,0.000945287
1017.5,0.000390481
1017,0.000172253
1016.5,0.000239606
1016,0.000795107
1015.5,0.002316837
1015,0.000421583
1014.5,0.000695196
1014,0.000671647
