Wavelength[nm],T% at AOI 0 deg
1100.0 ,0.002054322
1099.5 ,0.001253209
1099.0 ,0.002022822
1098.5 ,0.00167898
1098.0 ,0.001854516
1097.5 ,0.001062114
1097.0 ,0.002557917
1096.5 ,0.000534933
1096.0 ,0.00155013
1095.5 ,0.001492689
1095.0 ,0.002392144
1094.5 ,0.001487395
1094.0 ,0.002025734
1093.5 ,0.001687522
1093.0 ,0.001041607
1092.5 ,0.002369581
1092.0 ,0.000648474
1091.5 ,0.000581057
1091.0 ,0.001211145
1090.5 ,-0.000288633
1090.0 ,0.000818707
1089.5 ,-0.000439004
1089.0 ,0.001255973
1088.5 ,0.001258136
1088.0 ,0.0015621
1087.5 ,0.000738103
1087.0 ,0.000912012
1086.5 ,0.000254293
1086.0 ,0.001389771
1085.5 ,-0.000422173
1085.0 ,0.001603773
1084.5 ,-0.00066199
1084.0 ,0.0014132
1083.5 ,0.000138006
1083.0 ,-8.55E-05
1082.5 ,0.000517159
1082.0 ,0.001758711
1081.5 ,0.000665075
1081.0 ,0.001397678
1080.5 ,0.000772869
1080.0 ,0.000790448
1079.5 ,0.000513887
1079.0 ,0.001372214
1078.5 ,-9.67E-05
1078.0 ,-0.000426528
1077.5 ,0.002138094
1077.0 ,0.001672033
1076.5 ,0.000560452
1076.0 ,0.000718988
1075.5 ,0.001435298
1075.0 ,0.002351411
1074.5 ,0.001034911
1074.0 ,0.00087376
1073.5 ,0.001749893
1073.0 ,0.00026383
1072.5 ,0.00049005
1072.0 ,0.000162282
1071.5 ,0.000568205
1071.0 ,-0.001000526
1070.5 ,-0.000496966
1070.0 ,6.18E-05
1069.5 ,0.001898634
1069.0 ,0.001778786
1068.5 ,0.000773096
1068.0 ,0.000878587
1067.5 ,7.27E-05
1067.0 ,0.001030869
1066.5 ,8.76E-05
1066.0 ,0.001205741
1065.5 ,0.000800183
1065.0 ,0.000708366
1064.5 ,0.000293961
1064.0 ,0.000869066
1063.5 ,0.001037971
1063.0 ,0.000559669
1062.5 ,0.000157541
1062.0 ,-9.04E-05
1061.5 ,0.001494514
1061.0 ,0.000334664
1060.5 ,8.64E-05
1060.0 ,0.000990098
1059.5 ,0.000400633
1059.0 ,-0.00022633
1058.5 ,0.000695789
1058.0 ,0.002302961
1057.5 ,0.000464799
1057.0 ,0.000768298
1056.5 ,0.001218141
1056.0 ,0.000601729
1055.5 ,-0.000345296
1055.0 ,0.000310146
1054.5 ,0.000854111
1054.0 ,-0.000172118
1053.5 ,0.000998772
1053.0 ,0.0012962
1052.5 ,0.001361507
1052.0 ,1.59E-05
1051.5 ,0.000256029
1051.0 ,0.000733583
1050.5 ,0.000511108
1050.0 ,0.00050594
1049.5 ,0.000394213
1049.0 ,0.000698893
1048.5 ,0.000856303
1048.0 ,0.000706328
1047.5 ,0.000546372
1047.0 ,0.000714134
1046.5 ,0.00210228
1046.0 ,-0.000294891
1045.5 ,-0.000381864
1045.0 ,0.00050247
1044.5 ,-0.000541751
1044.0 ,0.001051053
1043.5 ,0.000869565
1043.0 ,0.000625
1042.5 ,0.000800617
1042.0 ,-0.00026575
1041.5 ,0.000934674
1041.0 ,0.000523463
1040.5 ,0.001510923
1040.0 ,-0.000450032
1039.5 ,0.000885787
1039.0 ,0.000634608
1038.5 ,-0.000450143
1038.0 ,-0.000283137
1037.5 ,0.000342243
1037.0 ,0.000737625
1036.5 ,0.000111939
1036.0 ,-6.30E-05
1035.5 ,-6.15E-05
1035.0 ,0.001239121
1034.5 ,-0.00117049
1034.0 ,0.000709843
1033.5 ,0.000434332
1033.0 ,0.000742622
1032.5 ,0.000726446
1032.0 ,0.00090515
1031.5 ,-0.000623533
1031.0 ,0.000158253
1030.5 ,-0.00044174
1030.0 ,0.000827761
1029.5 ,0.000761503
1029.0 ,0.000149364
1028.5 ,-1.83E-05
1028.0 ,0.000510187
1027.5 ,0.001150541
1027.0 ,0.000727777
1026.5 ,-0.000618321
1026.0 ,-0.000727164
1025.5 ,0.001113791
1025.0 ,0.00066099
1024.5 ,0.002419093
1024.0 ,0.001293165
1023.5 ,0.001093649
1023.0 ,0.001223186
1022.5 ,0.00047328
1022.0 ,0.000717165
1021.5 ,0.000696866
1021.0 ,0.000653071
1020.5 ,-0.000430916
1020.0 ,-0.000291975
1019.5 ,0.000258955
1019.0 ,0.000514153
1018.5 ,-0.001360628
1018.0 ,2.77E-05
1017.5 ,0.00043818
1017.0 ,6.89E-05
1016.5 ,0.001390891
1016.0 ,0.000268727
1015.5 ,0.000142709
1015.0 ,0.001385222
1014.5 ,0.001026437
1014.0 ,0.000593241
1013.5 ,-0.000626795
1013.0 ,-0.001174849
1012.5 ,2.84E-05
1012.0 ,0.00067102
1011.5 ,0.000295466
1011.0 ,-0.001403826
1010.5 ,-0.001212357
1010.0 ,-0.001158554
1009.5 ,0.000149586
1009.0 ,-0.000731489
1008.5 ,-0.000582589
1008.0 ,0.000365027
1007.5 ,0.001425741
1007.0 ,2.45E-05
1006.5 ,0.000541202
1006.0 ,0.001104576
1005.5 ,-0.00105427
1005.0 ,-0.00064477
1004.5 ,-0.001074407
1004.0 ,-0.000298678
1003.5 ,-0.00111041
1003.0 ,0.001635665
1002.5 ,0.000634153
1002.0 ,0.000344342
1001.5 ,-0.000115787
1001.0 ,0.000220409
1000.5 ,0.000576773
1000.0 ,0.000841476
999.5 ,0.000600765
999.0 ,-0.00036834
998.5 ,0.000101017
998.0 ,0.001057115
997.5 ,6.31E-05
997.0 ,0.000505318
996.5 ,0.000606641
996.0 ,0.001005218
995.5 ,-0.001053317
995.0 ,0.00097161
994.5 ,0.001182061
994.0 ,0.001446536
993.5 ,0.001053786
993.0 ,-0.000204929
992.5 ,-3.72E-05
992.0 ,0.001107727
991.5 ,-0.0001639
991.0 ,0.000569956
990.5 ,-0.000440352
990.0 ,0.001606844
989.5 ,0.001141258
989.0 ,0.000912605
988.5 ,0.000714494
988.0 ,0.001527799
987.5 ,0.000597951
987.0 ,0.001065891
986.5 ,0.001013901
986.0 ,0.000946755
985.5 ,0.000473832
985.0 ,0.001313368
984.5 ,-0.000180058
984.0 ,0.000909622
983.5 ,-7.34E-05
983.0 ,-0.000157715
982.5 ,-0.000629772
982.0 ,0.000381887
981.5 ,0.000628326
981.0 ,-0.000440917
980.5 ,0.000612072
980.0 ,0.001269904
979.5 ,3.72E-05
979.0 ,0.001683036
978.5 ,-0.000775009
978.0 ,0.00134617
977.5 ,9.49E-05
977.0 ,0.00090867
976.5 ,0.001111519
976.0 ,-0.00073255
975.5 ,0.000322747
975.0 ,0.000503599
974.5 ,-0.000509611
974.0 ,0.000804193
973.5 ,0.000465701
973.0 ,-0.000765715
972.5 ,0.001149516
972.0 ,0.000489414
971.5 ,5.56E-05
971.0 ,0.000332319
970.5 ,0.000651924
970.0 ,-0.000669855
969.5 ,-0.00068839
969.0 ,-0.001586979
968.5 ,0.001100309
968.0 ,-0.001162237
967.5 ,-0.000527698
967.0 ,0.000206042
966.5 ,-0.000145956
966.0 ,0.000375223
965.5 ,0.000770334
965.0 ,-0.000251441
964.5 ,0.001326101
964.0 ,0.000798403
963.5 ,0.000496303
963.0 ,0.000306696
962.5 ,0.000521332
962.0 ,0.000208382
961.5 ,0.000895187
961.0 ,-0.001343027
960.5 ,0.000176467
960.0 ,0.000651969
959.5 ,-0.000669526
959.0 ,-0.000167998
958.5 ,0.000429739
958.0 ,0.000449946
957.5 ,0.001158796
957.0 ,-0.000600192
956.5 ,-6.87E-06
956.0 ,0.000255536
955.5 ,-0.000734937
955.0 ,0.000381759
954.5 ,-0.000476775
954.0 ,0.000592478
953.5 ,0.001178331
953.0 ,0.000666285
952.5 ,0.000414666
952.0 ,3.17E-05
951.5 ,0.000305582
951.0 ,-0.000246149
950.5 ,-0.00032732
950.0 ,0.000907999
949.5 ,-0.000642746
949.0 ,-0.00069143
948.5 ,0.000196133
948.0 ,0.000125723
947.5 ,-0.00019096
947.0 ,-0.000430641
946.5 ,-0.000265391
946.0 ,0.000743727
945.5 ,0.001143165
945.0 ,-0.000737968
944.5 ,-9.29E-05
944.0 ,0.001857372
943.5 ,-0.000205617
943.0 ,0.000401487
942.5 ,0.000599053
942.0 ,-0.000746659
941.5 ,-0.000131637
941.0 ,0.000140311
940.5 ,0.0006843
940.0 ,-0.000664663
939.5 ,-0.000484601
939.0 ,0.000408538
938.5 ,0.000557685
938.0 ,0.000856004
937.5 ,0.000414971
937.0 ,0.000111423
936.5 ,0.00153587
936.0 ,0.000856056
935.5 ,0.001974704
935.0 ,-0.00040234
934.5 ,0.000898486
934.0 ,-0.000507829
933.5 ,0.001172708
933.0 ,9.25E-05
932.5 ,0.00024937
932.0 ,-0.000440011
931.5 ,-0.000354046
931.0 ,-0.000215641
930.5 ,-5.13E-05
930.0 ,-8.54E-05
929.5 ,0.001505047
929.0 ,0.000413293
928.5 ,-0.000749259
928.0 ,-0.00048375
927.5 ,0.000200139
927.0 ,0.000780988
